;;;;;
Print as PDF!;;;;;
;;;;;
;;;;;
;;;;;
Building type;;Construction year class;Building variant;;
German national code;TABULA Code;;;;
;;;;;
;;;;;
Gebäudetyp;;"Baualters-
klasse";Gebäudevariante;;
Code;TABULA Code;;;;
;;;;living_space_m2;living_space_share
;;;;3.778,2;
EFH_C;DE.N.SFH.03.Gen;1919 ... 1948;003;;
EFH_D;DE.N.SFH.04.Gen;1949 ... 1957;003;;
EFH_E;DE.N.SFH.05.Gen;1958 ... 1968;003;;
EFH_F;DE.N.SFH.06.Gen;1969 ... 1978;003;;
EFH_G;DE.N.SFH.07.Gen;1979 ... 1983;003;;
EFH_H;DE.N.SFH.08.Gen;1984 ... 1994;003;;
EFH_I;DE.N.SFH.09.Gen;1995 ... 2001;003;;
EFH_J;DE.N.SFH.10.Gen;2002 ... 2009;003;;
RH_B;DE.N.TH.02.Gen;1860 ... 1918;003;;
RH_C;DE.N.TH.03.Gen;1919 ... 1948;003;;
RH_D;DE.N.TH.04.Gen;1949 ... 1957;003;;
RH_E;DE.N.TH.05.Gen;1958 ... 1968;003;;
RH_F;DE.N.TH.06.Gen;1969 ... 1978;003;;
RH_G;DE.N.TH.07.Gen;1979 ... 1983;003;;
RH_H;DE.N.TH.08.Gen;1984 ... 1994;003;;
RH_I;DE.N.TH.09.Gen;1995 ... 2001;003;;
RH_J;DE.N.TH.10.Gen;2002 ... 2009;003;;
MFH_A;DE.N.MFH.01.Gen; ... 1859;003;;
MFH_B;DE.N.MFH.02.Gen;1860 ... 1918;003;;
MFH_C;DE.N.MFH.03.Gen;1919 ... 1948;003;;
MFH_D;DE.N.MFH.04.Gen;1949 ... 1957;003;;
MFH_E;DE.N.MFH.05.Gen;1958 ... 1968;003;;
MFH_F;DE.N.MFH.06.Gen;1969 ... 1978;003;;
MFH_G;DE.N.MFH.07.Gen;1979 ... 1983;003;;
MFH_H;DE.N.MFH.08.Gen;1984 ... 1994;003;;
MFH_I;DE.N.MFH.09.Gen;1995 ... 2001;003;;
MFH_J;DE.N.MFH.10.Gen;2002 ... 2009;003;;
GMH_B;DE.N.AB.02.Gen;1860 ... 1918;003;;
GMH_C;DE.N.AB.03.Gen;1919 ... 1948;003;;
GMH_D;DE.N.AB.04.Gen;1949 ... 1957;003;;
